State,trump,biden,rating_approve,rating_disapprove,rating_neither,Total population,Male population,Female Population,Median Age,income,2016_clinton,2016_trump,Hispanic (of any race),Non-Hispanic White,Non-Hispanic Black,Non-Hispanic Asian,Non-Hispanic American Indian,unemployment
Alabama,57.46021,38.41015,0.56,0.4,0.04,4887871,2369271,2518600,39.3,219230,0.343579458,0.620830924,0.04,0.66,0.27,0.01,0.01,7.5
Alaska,49.74951,44.81665,0.44,0.53,0.04,737438,382952,354486,34.9,46099,0.365508713,0.512815121,0.07,0.61,0.03,0.07,0.14,12.4
Arizona,44.97663,48.65853,0.44,0.53,0.03,7171646,3565129,3606517,38,346009,0.451260218,0.486716165,0.31,0.55,0.04,0.03,0.04,10
Arkansas,46.98111,44.99629,0.62,0.35,0.03,3013825,1476680,1537145,38.1,137609,0.336531241,0.605741022,0.07,0.72,0.15,0.02,0.01,8
California,30.83791,61.3492,0.26,0.7,0.03,39557045,19673553,19883492,36.7,2701899,0.617263996,0.316171065,0.39,0.37,0.06,0.14,0,14.9
Colorado,40.13454,52.40304,0.37,0.6,0.03,5695564,2864761,2830803,36.9,358996,0.481569804,0.432513974,0.22,0.68,0.04,0.03,0.01,10.5
Connecticut,34.33042,53.80952,0.35,0.62,0.03,3572665,1740533,1832132,41.1,285591,0.545663011,0.409269144,0.16,0.67,0.1,0.05,0,9.8
Delaware,40.17725,55.90583,0.38,0.6,0.02,967171,467924,499247,41.1,53727,0.533533368,0.419228243,0.09,0.62,0.22,0.04,0,12.5
Florida,44.1587,49.66529,0.46,0.51,0.03,21299325,10404676,10894649,42.2,1140908,0.478233158,0.490219414,0.26,0.54,0.15,0.03,0,10.4
Georgia,46.40231,45.59415,0.44,0.52,0.04,10519475,5120290,5399185,36.8,522194,0.456399834,0.507713261,0.1,0.53,0.31,0.04,0,7.6
Hawaii,30.31878,56.75726,0.26,0.7,0.04,1420491,710702,709789,39.3,82385,0.609807981,0.294397072,0.11,0.22,0.02,0.37,0,13.9
Indiana,53.26289,38.29762,0.53,0.44,0.03,6691878,3295973,3395905,37.8,333342,0.377748397,0.569400334,0.07,0.79,0.09,0.02,0,11.2
Iowa,46.1998,44.9442,0.46,0.51,0.04,3156145,1564888,1591257,38.1,169350,0.417525134,0.511620613,0.06,0.86,0.03,0.03,0,8
Kansas,50.80981,40.81936,0.51,0.45,0.03,2911510,1449745,1461765,37.1,159117,0.360523707,0.566545818,0.12,0.76,0.06,0.03,0.01,7.5
Kentucky,55.25042,39.52691,0.58,0.39,0.04,4468402,2199021,2269381,39.1,200213,0.326821883,0.625196386,0.04,0.85,0.08,0.01,0,4.3
Louisiana,52.41034,40.53097,0.53,0.44,0.03,4659978,2276530,2383448,37.3,226135,0.384495661,0.580886847,0.05,0.59,0.32,0.02,0.01,9.7
Maine,40.05412,50.60788,0.37,0.6,0.03,1338404,655734,682670,45.1,70206,0.463452141,0.434766781,0.02,0.93,0.01,0.01,0.01,6.6
Maryland,35.12265,59.57406,0.27,0.7,0.03,6042718,2930350,3112368,38.8,404387,0.603285485,0.339186164,0.1,0.51,0.29,0.06,0,8
Massachusetts,29.25849,61.42312,0.25,0.72,0.03,6902149,3350887,3551262,39.5,523575,0.590500651,0.322862028,0.12,0.72,0.07,0.07,0,17.4
ME-1,33.18107,56.72747,0.37,0.6,0.03,1338404,655734,682670,45.1,70206,0.463452141,0.434766781,0.02,0.93,0.01,0.01,0.01,6.6
